,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,42,14,0,0,4,16,0,1
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,11,90,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,21,0,0,6,17,0,1
dia-continuation,2,18,22,104,0,0,18,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,18,7,21,0,0,79,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,17,0,1
dia-continuation,6,10,26,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,21,0,0,6,17,0,1
dia-continuation,2,18,22,105,0,0,17,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,41,15,0,0,4,17,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,22,0,0,5,17,0,1
dia-continuation,2,18,22,105,0,0,17,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,41,15,0,0,4,17,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,105,0,0,17,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,39,16,0,0,4,18,0,0
dia-continuation,6,10,26,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,7,20,0,0,55,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,50,22,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,16,0,0,4,17,0,0
dia-continuation,6,10,26,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,7,20,0,0,55,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,42,15,0,0,4,16,0,0
dia-continuation,6,10,26,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,7,20,0,0,55,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,9,23,22,0,0,9,99,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,39,16,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,39,16,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,7,21,0,0,78,13,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,41,15,0,0,4,17,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,8,3,7,8,0,0,3,8,0,0
Acknowledgment,0,86,1,11,0,0,15,5,0,1
Continuation,6,2,40,15,0,0,4,18,0,0
dia-continuation,7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,11,0,0,0,0,1,0,0
Question-answer_pair,4,22,6,20,0,0,56,14,0,2
Question Extension,3,1,14,28,0,1,10,91,0,0
Correction,0,0,1,2,0,0,1,0,0,0
Contrast,1,2,0,0,0,0,2,0,0,4
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,11,1,7,6,0,0,1,2,0,0
Acknowledgment,4,111,1,11,0,0,16,6,0,1
Continuation,4,5,49,23,0,0,5,17,0,1
dia-continuation,2,18,22,106,0,0,16,33,0,1
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,3,1,0,1,0,1,0,0
Question-answer_pair,1,19,6,21,0,0,78,14,0,3
Question Extension,3,10,23,22,0,0,9,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,1,1,1,0,0,0,0,0,5
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,                     8,3,7,8,0,0,3,8,0,0
Acknowledgment,                 0,86,1,11,0,0,15,5,0,1
Continuation,                   6,2,40,15,0,0,4,18,0,0
dia-continuation,               7,10,25,95,0,0,13,23,0,1
Question-answer complaint Pair, 0,0,0,0,0,0,1,1,0,0
Conditional,                    0,0,11,0,0,0,0,1,0,0
Question-answer_pair,           4,22,6,20,0,0,56,14,0,2
Question Extension,             3,1,14,28,0,1,10,91,0,0
Correction,                     0,0,1,2,0,0,1,0,0,0
Contrast,                       1,2,0,0,0,0,2,0,0,4
